20210331,58918.83203,0.6328
20210401,59095.80859,0.2716
20210402,59384.3125,0.1779
20210403,57603.89063,0
20210404,58758.55469,0
20210405,59057.87891,0
20210406,58192.35938,0
20210407,56048.9375,-0.296
20210408,58323.95313,-0.0481
20210409,58245.00391,-1.0796
20210410,59793.23438,-0.4974
20210411,60204.96484,-0.6001
20210412,59893.45313,0.2263
20210413,63503.45703,-0.0837
20210414,63109.69531,-0.7092
20210415,63314.01172,-0.6961
20210416,61572.78906,-0.3745
20210417,60683.82031,-0.8536
20210418,56216.18359,-1.1472
20210419,55724.26563,-0.8968
20210420,56473.03125,-0.6342
20210421,53906.08984,0.002
20210422,51762.27344,-0.3443
20210423,51093.65234,-0.705
20210424,50050.86719,-0.2835
20210425,49004.25391,-0.7308
20210426,54021.75391,-0.6854
20210427,55033.11719,-0.6705
20210428,54824.70313,-0.1722
20210429,53555.10938,-0.3144
20210430,57750.17578,0.1538
20210501,57828.05078,-0.212
20210502,56631.07813,-0.8825
20210503,57200.29297,0.4747
20210504,53333.53906,0.6124
20210505,57424.00781,-0.3818
20210506,56396.51563,0.0428
20210507,57356.40234,0.9771
20210508,58803.77734,1.6969
20210509,58232.31641,1.7175
20210510,55859.79688,1.3263
20210511,56704.57422,0.4319
20210512,49150.53516,0.8006
20210513,49716.19141,-0.3248
20210514,49880.53516,-0.9868
20210515,46760.1875,-0.9868
20210516,46456.05859,-0.0691
20210517,43537.51172,-1.7348
20210518,42909.40234,-0.184
20210519,37002.44141,-0.5434
20210520,40782.73828,-0.4325
20210521,37304.69141,0.6554
20210522,37536.63281,-0.0543
20210523,34770.58203,0.6164
20210524,38705.98047,0.5535
20210525,38402.22266,1.8302
20210526,39294.19922,0.1691
20210527,38436.96875,0.402
20210528,35697.60547,-0.4329
20210529,34616.06641,0.5171
20210530,35678.12891,-0.3049
20210531,37332.85547,-0.8976
20210601,36684.92578,0.6613
20210602,37575.17969,0.2386
20210603,39208.76563,0.1942
20210604,36894.40625,-0.5935
20210605,35551.95703,-0.148
20210606,35862.37891,0.7904
20210607,33560.70703,0.6042
20210608,33472.63281,-0.1691
20210609,37345.12109,0.6238
20210610,36702.59766,0.5423
20210611,37334.39844,0.2023
20210612,35552.51563,0.2023
20210613,39097.85938,0.6238
